"","...1","...2","...3","...4"
"104",NA,"0118302. (Çikolata Tablet)","2022","118.8657"
"105",NA,"0118303. (Çikolata Krem)","2022","53.487099999999998"
"106",NA,"0118305. (Lokum)","2022","39.247799999999998"
"107",NA,"0118311. (Sakız)","2022","4.0888"
"108",NA,"0118312. (Kağıtlı Şeker)","2022","65.707800000000006"
"109",NA,"0118401. (Dondurma)","2022","33.938600000000001"
"110",NA,"0119001. (Baharat)","2022","102.0842"
"111",NA,"0119002. (Tuz)","2022","5.3851000000000004"
"112",NA,"0119004. (Kabartma Maddeleri)","2022","59.763500000000001"
"113",NA,"0119005. (Sirke)","2022","10.4656"
"114",NA,"0119008. (Ketçap)","2022","21.585899999999999"
"115",NA,"0119009. (Mayonez)","2022","47.162799999999997"
"116",NA,"0119012. (Tahin)","2022","68.140799999999999"
"117",NA,"0119014. (Hazır Çorbalar)","2022","87.126800000000003"
"118",NA,"0119015. (Hazır Pakette Toz Tatlılar (Puding))","2022","41.594700000000003"
"119",NA,"0121101. (Kahve)","2022","122.45359999999999"
"120",NA,"0121102. (Hazır Kahve)","2022","88.190399999999997"
"121",NA,"0121201. (Çay)","2022","45.624600000000001"
"122",NA,"0121202. (Poşet Bitki Ve Meyve Çayı)","2022","12.081099999999999"
"123",NA,"0121301. (Kakao)","2022","133.79740000000001"
"124",NA,"0121304. (Kakaolu İçecekler Toz)","2022","70.793400000000005"
"125",NA,"0122101. (Su)","2022","1.7330000000000001"
"126",NA,"0122102. (Maden Suyu Ve Sodası)","2022","9.2202999999999999"
"127",NA,"0122202. (Gazoz Meyveli)","2022","7.6764000000000001"
"128",NA,"0122203. (Kola)","2022","8.5608000000000004"
"129",NA,"0122204. (Buzlu Çay)","2022","10.023"
"130",NA,"0122205. (Ayran)","2022","8.3122000000000007"
"131",NA,"0122301. (Meyve Suyu)","2022","12.009600000000001"
"132",NA,"0211001. (Rakı)","2022","213.9136"
"133",NA,"0211006. (Viski)","2022","332.49419999999998"
"134",NA,"0212101. (Şarap)","2022","79.450199999999995"
"135",NA,"0213001. (Bira)","2022","21.881399999999999"
"136",NA,"0220100. (Sigaralar)","2022","25.0563"
"137",NA,"0311003. (Pamuklu Kumaş)","2022","37.2727"
"138",NA,"0312104. (Kaban Yünlü (Erkek İçin))","2022","0"
"139",NA,"0312106. (Mont Erkek İçin)","2022","0"
"140",NA,"0312108. (Takım Elbise (Erkek İçin))","2022","1634.3844999999999"
"141",NA,"0312109. (Ceket (Erkek İçin))","2022","524.99829999999997"
"142",NA,"0312110. (Pantolon (Erkek İçin))","2022","240.65350000000001"
"143",NA,"0312112. (Kazak (Erkek İçin))","2022","0"
"144",NA,"0312115. (Gömlek (Erkek İçin))","2022","178.3152"
"145",NA,"0312116. (Sweatshirt (Erkek İçin))","2022","156.49590000000001"
"146",NA,"0312117. (Tişört (Erkek İçin))","2022","0"
"147",NA,"0312120. (Eşofman (Erkek İçin))","2022","197.86099999999999"
"148",NA,"0312122. (Pijama (Erkek İçin))","2022","196.99199999999999"
"149",NA,"0312125. (İç Çamaşırı (Erkek İçin))","2022","59.540100000000002"
"150",NA,"0312130. (Çorap (Erkek İçin))","2022","21.250599999999999"
"151",NA,"0312202. (Pardösü (Kadın İçin))","2022","0"
"152",NA,"0312204. (Kaban (Kadın İçin))","2022","0"
"153",NA,"0312213. (Elbise)","2022","201.1097"
"154",NA,"0312214. (Ceket (Kadın İçin))","2022","373.54880000000003"
"155",NA,"0312215. (Etek)","2022","163.059"
"156",NA,"0312216. (Pantolon (Kadın İçin))","2022","205.1583"
"157",NA,"0312217. (Hırka (Kadın İçin))","2022","0"
"158",NA,"0312219. (Kazak (Kadın İçin))","2022","0"
"159",NA,"0312222. (Gömlek (Kadın İçin))","2022","182.15270000000001"
"160",NA,"0312223. (Sweatshirt)","2022","129.93459999999999"
"161",NA,"0312224. (Tişört (Kadın İçin))","2022","0"
"162",NA,"0312230. (Eşofman (Kadın İçin))","2022","188.73859999999999"
"163",NA,"0312235. (Pijama (Kadın İçin))","2022","173.30889999999999"
"164",NA,"0312237. (İç Çamaşırı (Kadın İçin))","2022","58.771299999999997"
"165",NA,"0312242. (Çorap (Kadın İçin))","2022","18.1554"
"166",NA,"0312303. (Kaban Anorak Tipi (Çocuk İçin))","2022","0"
"167",NA,"0312313. (Elbise Çocuk İçin)","2022","109.6908"
"168",NA,"0312315. (Pantolon (Çocuk İçin))","2022","140.86660000000001"
"169",NA,"0312318. (Kazak (Çocuk İçin))","2022","0"
"170",NA,"0312321. (Gömlek (Çocuk İçin))","2022","107.0556"
"171",NA,"0312322. (Sweatshirt (Çocuk İçin))","2022","78.629599999999996"
"172",NA,"0312323. (Tişört (Çocuk İçin))","2022","0"
"173",NA,"0312326. (Tayt)","2022","54.052199999999999"
"174",NA,"0312328. (Eşofman (Çocuk İçin))","2022","90.478899999999996"
"175",NA,"0312329. (Pijama (Çocuk İçin))","2022","94.545599999999993"
"176",NA,"0312332. (İç Çamaşırı (Çocuk İçin))","2022","25.200399999999998"
"177",NA,"0312336. (Çorap (Çocuk İçin))","2022","17.815799999999999"
"178",NA,"0312403. (Bebek Tulumu)","2022","67.373400000000004"
"179",NA,"0312409. (Bebek Pijaması)","2022","67.227900000000005"
