"","Tüketici fiyat endeksi (2003=100) ana grup ve alt ana gruplara göre endeks rakamları, 2005-2025","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78","...79","...80","...81","...82","...83","...84","...85","...86","...87","...88","...89","...90","...91","...92","...93","...94","...95","...96","...97","...98","...99","...100","...101","...102","...103","...104","...105","...106","...107","...108","...109","...110","...111","...112","...113","...114","...115","...116","...117","...118","...119","...120","...121","...122","...123","...124","...125","...126","...127","...128","...129","...130","...131","...132","...133","...134","...135","...136","...137","...138","...139","...140","...141","...142","...143","...144","...145","...146","...147","...148","...149","...150","...151","...152","...153","...154","...155","...156","...157","...158","...159","...160","...161","...162","...163","...164","...165","...166","...167","...168","...169","...170","...171","...172","...173","...174","...175","...176","...177","...178","...179","...180","...181","...182","...183","...184","...185","...186","...187","...188","...189","...190","...191","...192","...193","...194","...195","...196","...197","...198","...199","...200","...201","...202","...203","...204","...205","...206","...207","...208","...209","...210","...211","...212","...213","...214","...215","...216","...217","...218","...219","...220","...221","...222","...223","...224","...225","...226","...227","...228","...229","...230","...231","...232","...233","...234","...235","...236","...237","...238","...239","...240","...241","...242","...243","...244","...245","...246","...247","...248","...249","...250","...251","...252","...253","...254","...255","...256","...257","...258","...259","...260","...261","...262","...263","...264","...265","...266","...267","...268","...269","...270","...271","...272","...273","...274","...275","...276","...277","...278","...279","...280","...281","...282","...283","...284","...285","...286","...287","...288","...289","...290","...291","...292"
"1","Consumer price index (2003=100) according to main and sub-main groups, 2005-2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,"0","01","02","03","04","05","06","07","08","09","10","11","12","011","012","021","022","031","032","041","043","044","045","051","052","053","054","055","056","061","062","063","071","072","073","081","082","083","091","092","093","094","095","096","101","102","104","105","111","112","121","123","124","125","126","127","0111","0112","0113","0114","0115","0116","0117","0118","0119","0121","0122","0211","0212","0213","0220","0312","0313","0314","0321","0322","0411","0431","0441","0451","0452","0454","0511","0512","0520","0531","0532","0533","0540","0552","0561","0562","0611","0612","0613","0621","0622","0623","0630","0711","0712","0713","0721","0722","0723","0724","0731","0732","0733","0734","0736","0810","0820","0830","0911","0913","0915","0922","0931","0932","0934","0935","0941","0942","0943","0951","0952","0954","0960","1010","1020","1040","1050","1110","1120","1211","1212","1213","1231","1232","1240","1252","1253","1254","1262","1270","01111","01112","01113","01114","01115","01116","01122","01124","01125","01126","01127","01131","01133","01141","01143","01144","01145","01151","01152","01153","01161","01162","01171","01172","01174","01175","01181","01182","01183","01184","01190","01211","01212","01213","01221","01222","01223","02110","02121","02130","02201","03121","03122","03123","03124","03130","03140","03211","03212","03213","03220","04111","04310","04410","04510","04521","04522","04540","05111","05112","05113","05120","05200","05311","05312","05313","05314","05315","05320","05330","05401","05402","05403","05521","05522","05611","05612","05621","05622","06110","06120","06131","06132","06212","06220","06231","06300","07111","07113","07120","07130","07210","07220","07230","07240","07311","07312","07321","07322","07323","07330","07340","07360","08100","08200","08300","09111","09130","09150","09220","09310","09320","09340","09350","09410","09421","09422","09430","09510","09520","09540","09600","10100","10200","10400","10500","11101","11102","11201","11202","12111","12112","12120","12130","12310","12321","12322","12400","12520","12530","12540","12620","12700"
"3","Yıl","Ay",NA,"Genel","Gıda ve alkolsüz içecekler","Alkollü içecekler ve tütün","Giyim ve ayakkabı","Konut, su, elektrik, gaz ve diğer yakıtlar","Mobilya, ev aletleri ve ev bakım hizmetleri","Sağlık","Ulaştırma","Haberleşme","Eğlence ve kültür","Eğitim","Lokanta ve oteller","Çeşitli mal ve hizmetler","Gıda","Alkolsüz içecekler","Alkollü içecekler","Tütün","Giyim","Ayakkabı","Gerçek kira","Konutun bakım ve onarımı","Su (Şebeke suyu) ve konutla ilgili çeşitli hizmetler","Elektrik, gaz ve diğer yakıtlar","Mobilya, mefruşat, halı ve diğer yer döşemeleri","Ev içi tekstil","Ev aletleri","Züccaciye, yemek takımı ve hanehalkı aletleri","Ev ve bahçe araç gereçleri","Ev bakım için mal ve hizmetler","Tıbbi ürünler, aletler ve malzemeler","Ayakta tedavi hizmetleri","Yataklı tedavi hizmetleri","Araç satın alımı","Kişisel ulaştırma araçlarının işletimi","Ulaştırma hizmetleri","Posta hizmetleri","Telefon ve telefaks ekipmanı","Telefon ve telefaks hizmetleri","Görsel-işitsel sistemle (audıo-vısual), fotoğrafla ve veri işlemle ile ilgili ekipman","Diğer temel dayanıklı eğlence ve kültür araçları","Diğer eğlence araçları ve malzemeleri, bahçe ve evcil hayvanlara ilişkin ürünler, hizmetler","Eğlence ve kültür hizmetleri","Gazete, kitap ve kırtasiye","Paket turlar","Okul öncesi eğitim ve ilköğretim","Orta öğretim","Üniversite eğitimi","Düzeyi belirlenemeyen eğitim programları","Yemek hizmetleri","Konaklama hizmetleri","Kişisel bakım","Başka yerde sınıflandırılamayan kişisel bakım ürünleri","Sosyal hizmetler","Sigorta","Başka yerde sınıflandırılmayan mali hizmetler","Başka yerde sınıflandırılmayan diğer hizmetler","Ekmek ve tahıllar","Et","Balık","Süt, peynir ve yumurta","Katı ve sıvı yağlar","Meyveler","Sebze","Şeker, reçel, bal, çikolata ve şekerlemeler","Başka yerde sınıflandırılamayan diğer gıda ürünleri","Kahve, çay ve kakao","Maden suyu, alkolsüz içecekler, meyve ve sebze suları","İçkiler","Şarap","Bira","Tütün","Giysiler","Diğer giysi çeşitleri ve giysi aksesuarları","Kuru temizleme, giysi onarımı, dikişi ve kiralanması","Ayakkabı ve diğer ayak giyecekleri","Ayakkabı onarımı ve kiralanması","Kiracı tarafından ödenen gerçek kira","Konutun bakım ve onarımı için malzemeler","Su (şebeke suyu)","Elektrik","Gaz","Katı yakıtlar","Mobilya ve mefruşat","Halı ve diğer yer döşemeleri","Ev içi tekstil","Elektrikli ve elektriksiz büyük ev aletleri","Elektrikli küçük ev aletleri","Ev aletlerinin onarımı","Züccaciye, yemek takımı ve hanehalkı aletleri","Küçük araçlar ve çeşitli aksesuarlar","Dayanıksız ev malzemeleri","Ev işi ve hanehalkı hizmetleri","İlaçlar","Diğer sağlık ürünleri","Tedavi edici aletler ve malzemeler","Tıbbi hizmetler","Dişçilik ücreti","Diğer tıbbi hizmetler","Temel hastahane hizmetleri","Motorlu araçlar","Motosikletler","Bisikletler","Kişisel ulaştırma araçlarının yedek parça ve aksesuarları","Kişisel ulaştırma araçlarının yakıt ve yağları","Kişisel ulaştırma araçlarının bakım ve onarımı","Kişisel ulaştırma araçları ile ilgili diğer hizmetler","Demiryolu ile yolcu taşımacılığı","Karayolu ile yolcu taşımacılığı","Havayolu ile yolcu taşımacılığı","Deniz ve yurtiçi su yolu ile yolcu taşımacılığı","Diğer satınalınan ulaştırma hizmetleri","Posta hizmetleri","Telefon ve telefaks ekipmanı","Telefon ve telefaks hizmetleri","Ses alma, kayıt, ses ve resim kopyalama ile ilgili ekipman","Veri işlem ekipmanı","Görsel ve işitsel fotoğraf ve veri işleme ile ilgili araçların onarımı","Müzik enstrümanları ve kapalı yerlerde kullanılan temel eğlence araçları","Oyunlar, oyuncaklar ve hobiler","Spor, kamp ve açık hava eğlence malzemeleri","Evcil hayvanlar ve bununla ilgili diğer ürünler","Evcil hayvanlarla ilgili veterinerlik ve diğer hizmetler","Eğlence ve spor hizmetleri","Kültür hizmetleri","Şans oyunları","Kitaplar","Gazete ve dergiler","Kırtasiye ve çizim malzemeleri","Paket turlar","Okul öncesi eğitim ve ilköğretim","Orta öğretim","Üniversite eğitimi","Düzeyi belirlenemeyen eğitim programları","Yiyecek ve içecek hizmetleri","Konaklama hizmetleri","Kuaförler ve kişisel bakım merkezleri","Kişisel bakımda kullanılan elektrikli aletler","Kişisel bakımda kullanılan diğer aletler, ürünler ve eşyalar","Mücevherler, saat ve kol saatleri","Diğer kişisel aksesuarlar","Sosyal hizmetler","Konut sigortası","Sağlık sigortası","Ulaştırma sigortası","Başka yerde sınıflandırılmayan diğer mali hizmetler","Başka yerde sınıflandırılmayan diğer hizmetler","Pirinç","Un ve diğer tahıllar","Ekmek","Diğer fırıncılık ürünleri (bisküvi, kek, kraker, yufka, baklava vb.)","Makarna çeşitleri","Kahvaltılık tahıl ürünleri","Dana eti","Kuzu eti","Tavuk eti","Diğer etler ve yenilebilir sakatatlar","Şarküteri ürünleri (sucuk, sosis, salam vb.)","Taze balık","Konserve edilmiş veya işlenmiş balık","Süt","Diğer süt ürünleri (yoğurt, hazır sütlü tatlı vb.)","Peynir","Yumurta","Tereyağı","Margarin","Sıvı yağlar (zeytinyağı, ayçiçek yağı)","Taze meyveler","Kuru meyve ve sert kabuklu yemişler","Taze sebzeler (patates hariç)","Patates","Kuru baklagiller","Konserve edilmiş veya işlenmiş sebze içerikli ürünler (salça, turşu, zeytin vb. dahil)","Şeker","Reçel, marmelat, bal vb. ürünler","Çikolata ve şekerlemeler","Dondurma","Başka yerde sınıflandırılamayan diğer gıda ürünleri (tuz, sirke, ketçap, mayonez vb.)","Kahve","Çay ve bitki çayları","Toz kakao","Su ve maden suyu","Alkolsüz içecekler (meşrubat, ayran vb.)","Meyve ve sebze suları","Alkollü içecekler (rakı, viski, votka vb.)","Şarap","Bira","Sigaralar","Erkek giyim","Kadın giyim","Çocuk giyim","Bebek giyim","Diğer giyim eşyaları ve aksesuarları (kravat, kemer, eşarp vb.)","Giyim eşyalarının temizlenmesi ve tadilatı","Erkek ayakkabısı","Kadın ayakkabısı","Çocuk ve bebek ayakkabısı","Ayakkabı bakım ve tamiri","Gerçek kira","Konutun bakım ve onarımı için malzemeler","Su (şebeke suyu)","Elektrik","Doğalgaz ve ilgili abonelik ücretleri","Tüpgaz (ev tüpü)","Katı yakıtlar (odun, kömür)","Mutfak mobilyaları","Yatak odası mobilyaları","Yemek odası ve oturma odası mobilyaları","Halı","Ev tekstili","Buzdolabı, derin dondurucu","Çamaşır ve bulaşık makineleri","Fırın, ocak ve fırınlı ocak","Klima ve ısıtıcılar","Diğer büyük ev aletleri (elektrikli süpürge vb.)","Elektrikli küçük ev aletleri","Ev aletlerinin onarımı","Cam, porselen, seramik vb. mutfak eşyaları","Çatal-bıçak takımı","Elektriksiz mutfak eşyaları ve ev gereçleri (tencere, tava, çaydanlık vb.)","Çeşitli küçük aksesuarlar (pil, ampul vb.)","Evle ilgili küçük bakım-tamir mal ve hizmetleri","Ev ile ilgili temizlik malzemeleri (deterjan, yumuşatıcı vb.)","Ev ile ilgili diğer temizlik malzemeleri (bulaşık süngeri, çöp torbası vb.)","Ev içi hizmetler (gündelikçi ücreti)","Ev eşyalarının yıkanması ve temizlenmesi hizmetleri","İlaçlar","Diğer sağlık ürünleri (hasta bezi vb.)","Gözlükler ve kontakt lensler","Diğer sağlık ekipmanları (tansiyon aleti vb.)","Ayakta tedavi hizmetleri (muayene ücreti, muayene katkı payı vb.)","Diş hekimliği hizmetleri","Tıbbi tahlil, analiz ve röntgen çekim hizmetleri","Hastane hizmetleri","Dizel otomobiller (sıfır km)","Benzinli ve elektrikli otomobiller (sıfır km)","Motosikletler","Bisikletler","Kişisel ulaştırma araçlarının yedek parça ve aksesuarları","Kişisel ulaştırma araçlarının yakıt ve yağları (benzin, motorin, motor yağı)","Kişisel ulaştırma araçlarının bakım ve onarımı","Kişisel ulaştırma araçları ile ilgili diğer hizmetler (köprü ve otoban geçiş ücretleri dahil)","Demiryolu ile şehir içi yolcu taşımacılığı","Demiryolu ile şehirler arası yolcu taşımacılığı","Otobüs ile şehir içi yolcu taşımacılığı","Taksi ile şehir içi yolcu taşımacılığı","Karayolu ile şehirler arası yolcu taşımacılığı","Havayolu ile yolcu taşımacılığı","Deniz ve yurt içi su yolu ile yolcu taşımacılığı","Diğer satın alınan ulaştırma hizmetleri (nakliye, kargo vb.)","Posta hizmetleri","Mobil telefon, ekipman ve aksesuarları","Telefon (mobil ve sabit hat) ve internet ücretleri","Televizyonlar","Bilgisayar ve ekipmanları","Görsel ve işitsel cihazların bakım ve onarımı","Müzik enstrümanları","Oyunlar, oyuncaklar ve hobiler","Spor, kamp ve açık hava eğlence malzemeleri","Evcil hayvanlar ile ilgili ürünler","Evcil hayvanlarla ilgili veterinerlik ve diğer hizmetler","Eğlence ve spor hizmetleri","Fotoğrafçılık hizmetleri","Diğer eğlence ve kültür hizmetleri (sinema, tiyatro vb.)","Şans oyunları","Kitaplar","Gazete ve dergiler","Kırtasiye malzemeleri","Paket turlar","Okul öncesi eğitim ve ilköğretim","Orta öğretim","Üniversite eğitimi","Yaygın eğitim hizmetleri (dershane ve kurslar)","Lokanta, pastane, kafe vb. yerlerde yenen yemekler","Lokanta, pastane, kafe vb. yerlerde içilen içecekler","Otel, pansyion vb. yerlerde konaklama hizmetleri","Diğer konaklama hizmetleri (öğrenci yurtları)","Erkekler için kuaförlük hizmetleri","Kadınlar için kuaförlük hizmetleri","Kişisel bakımda kullanılan elektrikli aletler","Kişisel hijyen ve bakım için kullanılan ürünler, kozmetikler","Mücevheratlar, saat ve kol saatleri","Seyahat malzemeleri ve diğer kişisel aksesuarlar","Başka yerde sınıflandırılmamış diğer kişisel aksesuarlar","Çocuk bakım hizmetleri (kreşler)","Konut sigortası","Sağlık sigortası","Ulaştırma sigortası","Başka yerde sınıflandırılmayan diğer mali hizmetler (para havale ücreti vb.)","Başka yerde sınıflandırılmayan diğer hizmetler (noterlik, avukatlık hizmetleri vb.)"
"4","Year","Months",NA,"General","Food and non-alcoholic beverages","Alcoholic beverages and tobacco","Clothing and footwear","Housing, water, electricity, gas and other fuels","Furnishings, household equipment, routine maintenance of the house","Health","Transport","Communications","Recreation and culture","Education","Hotels, cafes and restaurants","Miscellaneous goods and services","Food","Non-alcoholic beverages","Alcoholic beverages","Tobacco","Clothing","Footwear","Actual rentals for housing","Maintenance and repair of the dwelling","Water supply and miscellaneous services relating to the dwelling","Electricity, gas and other fuels","Furniture and furnishings, carpets and other floor coverings","Household textiles","Household appliances","Glassware, tableware and household utensils","Tools and equipment for house and garden","Goods and services for routine household maintenance","Medical products, appliances and equipment","Outpatient services","Hospital services","Purchase of vehicles","Operation of personal transport equipment","Transport services","Postal services","Telephone and telefax equipment","Telephone and telefax services","Audio-visual, photographic and information processing equipment","Other major durables for recreation and culture","Other recreational items and equipment, gardens and pets","Recreational and cultural services","Newspapers, books and stationery","Package holidays","Pre-primary and primary education","Secondary education","Tertiary education","Education not definable by level","Catering services","Accommodation services","Personal care","Personal effects n.e.c.","Social protection","insurance","Financial services n.e.c.","Other services n.e.c.","Bread and cereals","Meat","Fish and seafood","Milk, cheese and eggs","Oils and fats","Fruit","Vegetables","Sugar, jam, honey, chocolate and confectionery","Food products n.e.c.","Coffee, tea and cacao","Mineral waters, soft drinks, fruit and vegetable juices","Spirits","Wine","Beer","Tobacco","Garments","Other articles of clothing and clothing accessories","Cleaning, repair and hire of clothing","Shoes and other footwear","Repair and hire of footwear","Actual rentals paid by tenants","Materials for the maintenance and repair of the dwelling","Water supply","Electricity","Gas","Solid fuels","Furniture and furnishings","Carpets and other floor coverings","Household textiles","Major household appliances whether electric or not","Small electric household appliances","Repair of household appliances","Glassware, tableware and household utensils","Small tools and miscellaneous accessories","Non-durable household goods","Domestic services and household services","Pharmaceutical products","Other medical products","Therapeutic appliances and equipment","Medical services","Dental services","Paramedical services","Hospital services","Motor cars","Motor cycles","Bicycles","Spare parts and accessories for personal transport equipment","Fuels and lubricants for personal transport equipment","Maintenance and repair of personal transport equipment","Other services in respect of personal transport equipment","Passenger transport by railway","Passenger transport by road","Passenger transport by air","Passenger transport by sea and inland waterway","Other purchased transport services","Postal services","Telephone and telefax equipment","Telephone and telefax services","Equipment for the reception, recording and reproduction of sound and picture","Information processing equipment","Repair of audio-visual, photographic and information processing equipment","Musical instruments and major durables for indoor recreation","Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Pets and other related products","Veterinary and other services for pets","Recreational and sporting services","Cultural services","Games of chance","Books","Newspapers and periodicals","Stationery and drawing materials","Package holidays","Pre-primary and primary education","Secondary education","Tertiary education","Education not definable by level","Catering services","Accommodation services","Hairdressing salons and personal grooming establishments","Electric appliances for personal care","Other appliances, articles and products for personal care","Jewellery, clocks and watches","Other personal effects","Social protection","Insurance connected with the dwelling","Insurance connected with health","Insurance connected with transport","Other financial services n.e.c.","Other services n.e.c.","Rice","Flours and other cereals","Bread","Other bakery products (biscuits, cakes, crackers, phyllo dough, baklava, etc.)","Pasta products","Breakfast cereals","Beef and veal","Lamb","Chicken","Other meat and edible offal","Dried, salted or smoked meat","Fresh or chilled fish","Other preserved or processed fish","Milk","Other milk products (yoghurt, milk desserts etc.)","Cheese","Eggs","Butter","Margarine","Other edible oils","Fresh fruit","Dried fruit and nuts","Fresh vegetables other than potatoes","Potatoes","Legumes","Canned or processed vegetables (including tomato paste, pickles, olives, etc.)","Sugar","Jams, marmalades, honey etc.","Chocolates and confectionery products","Ice cream","Other food products n.e.c. (salt, vinegar, ketchup, mayonnaise etc.)","Coffee","Tea and herbal tea","Cacao","Mineral or spring waters","Soft drinks","Fruit and vegetable juices","Alcoholic beverages (raki, whiskey, vodka, etc.)","Wine from grapes","Beer","Cigarettes","Garments for men","Garments for women","Garments for children","Garments for baby","Other articles of clothing (tie, belt, scarf, etc.)","Dry cleaning and repairing of clothing","Footwear for men","Footwear for women","Footwear for infants and children","Repair of footwear","Actual rentals paid by tenants","Materials for the maintenance and repair of the dwelling","Water supply","Electricity","Natural gas and related subscription fees","Liquefied hydrocarbons","Solid fuels (wood, coal)","Kitchen furniture","Bedroom furniture","Dining and living room furniture","Carpets and rugs","Home textile","Refrigerators and freezers","Washing machines, dishwashers","Cookers","Air conditioners and heaters","Other large appliances (vacuum cleaner, etc.)","Small electirical appliances","Repair of household appliances","Glassware, ceramic ware and chinaware","Cutlery","Non-electric kitchen utensils and articles (pots, pans, teapots, etc.)","Miscellaneous small tool accessories (battery, bulb, etc.)","Small maintenance and repair for home","Cleaning and maintenance products (detergent, softener, etc.)","Other non-durable small household articles (sponge, garbage bag, etc.)","Domestic services (fee for homeworker)","Cleaning services of furnitures","Pharmaceutical products","Other medical products (patient diapers, etc.)","Corrective eye-glasses and contact lenses","Other therapeutic appliances and equipment","Outpatient treatment services (examination fee, examination contribution fee etc.)","Dental services","Services of medical analysis laboratories and x-ray centres","Hospital services","New diesel motor cars","New gasoline and electric motor cars","Motor cycles","Bicycles","Spare parts for personal transport equipments","Fuel and oils of personal transportation vehicles (gasoline, diesel, engine oil)","Maintenance and repair of personal transportation vehicles","Other services related to personal transportation vehicles (including bridge and highway tolls)","Passenger transport by underground and tram","Passenger transport by train","Passenger transport by local bus","Taxi fees","Passenger transport between cities","Passenger transport by plane","Passenger transport by sea","Other purchased transportation services (shipping, cargo, etc.)","Postal services","Mobile phones, equipment and accessories","Telephone (mobile and wired phone) and internet charges","Televisions","Computers and equipments","Maintenance and repair of visual and audio devices","Musical instruments","Toys and celebration articles","Equipment for sport","Products for pets","Veterinary and other services for pets","Recreational and sporting services","Photographic services","Other cultural services (cinema, theatre etc.)","Game of chance","Books","Newspapers and magazines","Stationery and drawing materials","Package tours","Primary education","Secondary education","Tertiary education","Non-formal education (courses etc.)","Restauranst and food services","Cafes and beverage services","Hotels and other accomodation services","Accommodation services of other establishments","Hairdressing for men","Hairdressing for women","Electric appliances for personal care","Articles for personal hygiene and wellness and beauty products","Jewellery, clocks and watches","Travel goods","Other personal effects n.e.c.","Child care services (nursery)","Insurance connected with the dwelling","Insurance connected with the health","Motor vehicle insurance","Legal services and accountancy","Other fees and services"
"5","2005","Ocak","January","114.48557944692479","111.95444811225764","121.95386353452245","110.77344238590378","115.50849030710229","111.39875902553669","112.8403267552529","117.99134873624222","103.99316584669407","113.37378677300505","130.87015195369437","124.4360809449378","114.34234564736781","111.71753872099272","115.22717145877292","134.45823574512229","121.03147415412424","109.61467020472938","114.08787920092999","133.13529369214365","112.68483867306975","110.99516990959077","109.32074542568394","125.4268913939833","110.99823982988163","93.911993553419251","117.42913019320109","116.05103808103595","106.64512905116932","96.150500865213829","129.25591064229522","121.87732499780725","100.50703382131104","124.99658844502504","123.79944513530383","125.49019607843138","87.784961334254234","105.58949442578717","91.097736466447913","115.82589598098754","120.98777561918867","129.85666646961249","121.89368061746772","111.52183230757495","133.36682635175529","131.171560319104","129.66598467289148","129.64214809928532","126.00356509821185","122.44799861911271","112.80744059091796","111.88920800758366","131.30442391819417","127.13795568149783","124.54397630638297","139.74654172274916","110.1","107.99","115.03","120.11","106.28","90.73","122.88","116.57","116.88","123.59","106.74","140.93","123.77","126.03","121.03","109.19","111.87","128.77000000000001","114.04","121.29","133.13999999999999","112.68","110.3","99.95","111.73","118.34","126.72","119.99","111","88.69","100.82","131.16999999999999","117.43","116.05","99.12","126.14","93.76","117.87","108.31","148.37","119.17","99.41","121.88","100.39","0","104.77","110.17","125.78","123.77","127.88","124.23","125.54","85.47","87.63","129.94","125.49","87.78","105.59","76.88","108.31","133.33000000000001","115.83","122.07","115.04",NA,"123.87","126.97","117.5","165.02","134.19999999999999","115.85","113.04","111.52","133.37","131.16999999999999","129.66999999999999","129.63999999999999","126","122.45","133.44999999999999","103.26","106.15","106.56","124.89","131.30000000000001","124.19","126.26","129.28","124.54","139.75","120.08","108.06","107.11","122.53","99.42","113.38","114.31","111.4","90.63","119.45","117.54","115.03",NA,"119.03","117.84","122.44","118.82","127.31","102.5","105.09","84.95","122.62","127.07","78.34","137.04","128.13999999999999","115.01","115.61","122.63","114.83","116.88","115.87","124.33","123.71","104.2","106.76","111.25","140.93","123.77","126.03","121.13","108.93","109.07","109.37","120.92","111.87","128.77000000000001","113.4","116.22","111.49","121.29","133.13999999999999","112.68","110.3","99.95","110.57","112.33","118.34","119.94","134.22999999999999","124.56","119.99","111","76.7","79.400000000000006","84.77","114.55","88.36","100.82","131.16999999999999","115.21","122.73","118.24","111.62","120.26","97.42","114","126.19","123.89","93.76","117.87","108.83","107.2","148.37","119.17","96.25","121.88","0","100.39","0","104.77","110.17","125.78","123.77","127.88","125.91","119.68","128.72999999999999","122.32","114.55","85.47","87.63","129.94","125.49","87.78","105.59","76.349999999999994","108.31","133.33000000000001","115.83","122.07","115.04",NA,"123.87","126.97","116.31","117.91","165.02","134.19999999999999","115.85","113.04","111.52","133.37","131.16999999999999","129.66999999999999","129.63999999999999","128.44","120.31","117.8","128.4","138.44","128.54","103.26","106.15","106.56","125.4","123.64","131.30000000000001","124.19","126.26","129.28","124.54","139.75"
"6","2005","Şubat","February","114.51307178559806","112.92027393305813","124.33063604974549","103.12807204767853","116.11247353681375","112.23774600458216","112.38279409767657","118.58192677231136","104.17062232053073","113.06910744485027","130.31324423012799","126.28103366502729","113.11501414862178","112.74543791531778","115.27556295333507","157.06596381611678","122.05826503761908","101.85257494760096","106.78098522443283","134.78756734884763","114.02122736708554","110.81982420106466","109.65575722296425","126.75329273273739","110.55464134740288","95.414724559213994","118.02722723085817","116.98541499252303","106.95694832423061","95.563488753106171","126.52388475478134","130.36260306177601","101.26307327690886","125.60646978270823","124.21820353019842","125.49019607843138","89.466130215044984","105.58969000859153","90.66782952306977","115.36378661348027","122.41622966271203","132.04023801741633","120.26120726505768","110.47406892937585","132.85864331399097","132.6451698719992","129.66598467289148","125.29382491475853","128.18103352286633","123.87448653393271","113.9133832775121","108.22814665398944","129.70419508926568","130.53121951358023","126.5860437810431","139.87789394117283","110.23","109.69","126.31","120.49","106.73","94.36","122.9","116.96","117.57","123.72","106.72","169.85","131.44","142.57","122.06","100.79","110.44","131.13999999999999","106.66","122.83","134.79","114.02","110.11","99.92","112.88","117.7","128.21","120.63","110.55","90.44","101.03","131.16999999999999","118.03","116.99","99.3","126.84","93.33","118.17","106.34","148.77000000000001","117.72","91.97","130.36000000000001","100.96","0","114.58","111.44","126.24","125.38","129.29","127.34","125.95","84.46","87.63","130.74","125.49","89.47","105.59","76.989999999999995","107.23","129.6","115.36","122.76","117.35",NA,"126.56","131.56","118.8","165.02","133.6","111.3","113.09","110.47","132.86000000000001","132.65","129.66999999999999","125.29","128.18","123.87","135.1","105.15","107.07","101.73","124.23","129.69999999999999","125.9","126.26","134.1","126.59","139.88","120.87","108.49","106.85","123.56","100.08","113.03","115.62","118.71","88.03","120.3","119.14","126.31",NA,"121.54","119.2","122.79","115.6","127.72","102.72","105.6","88.61","125.53","126.15","77.37","140.25","131.38","115.14","114.89","123.91","118.26","117.57","116.29","124.41","124.54","103.39","106.97","111.55","169.85","131.44","142.57","122.16","101.33","100.48","98.95","118.93","110.44","131.13999999999999","106.23","107.9","105.33","122.83","134.79","114.02","110.11","99.92","110.26","114.29","117.7","120.19","135.11000000000001","126.53","120.63","110.55","78.87","82.76","84.69","114.64","88.96","101.03","131.16999999999999","115.24","124.5","119.09","112.24","121.51","97.53","115.04","126.87","124.95","93.33","118.17","106.97","104.98","148.77000000000001","117.72","88.03","130.36000000000001","0","100.96","0","114.58","111.44","126.24","125.38","129.29","128.63999999999999","123.67","129.18","124","114.38","84.46","87.63","130.74","125.49","89.47","105.59","76.83","107.23","129.6","115.36","122.76","117.35",NA,"126.56","131.56","118.81","118.75","165.02","133.6","111.3","113.09","110.47","132.86000000000001","132.65","129.66999999999999","125.29","130.33000000000001","123.09","118.38","131","140.54","129.77000000000001","105.15","107.07","101.73","124.47","123.6","129.69999999999999","125.9","126.26","134.1","126.59","139.88"
